"","aniyr_species","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop","yearx"
"256","1873_2011_roe","roe",8,8,"1873_2011",1873,"f","day",161,20,130,11,0,20,141,31,130,0.124223602484472,0.807453416149068,0.0683229813664596,0,0.124223602484472,0.875776397515528,0.192546583850932,0.807453416149068,"2011"
"257","1874_2011_roe","roe",8,8,"1874_2011",1874,"f","night",173,140,27,5,1,141,32,145,28,0.809248554913295,0.15606936416185,0.0289017341040462,0.00578034682080925,0.815028901734104,0.184971098265896,0.838150289017341,0.161849710982659,"2011"
"258","1874_2011_roe","roe",8,8,"1874_2011",1874,"f","day",148,81,60,6,1,82,66,87,61,0.547297297297297,0.405405405405405,0.0405405405405405,0.00675675675675676,0.554054054054054,0.445945945945946,0.587837837837838,0.412162162162162,"2011"
"259","1875_2011_roe","roe",8,8,"1875_2011",1875,"f","night",182,153,10,14,5,158,24,167,15,0.840659340659341,0.0549450549450549,0.0769230769230769,0.0274725274725275,0.868131868131868,0.131868131868132,0.917582417582418,0.0824175824175824,"2011"
"260","1875_2011_roe","roe",8,8,"1875_2011",1875,"f","day",172,94,50,13,15,109,63,107,65,0.546511627906977,0.290697674418605,0.0755813953488372,0.0872093023255814,0.633720930232558,0.366279069767442,0.622093023255814,0.377906976744186,"2011"
"261","1876_2011_roe","roe",8,8,"1876_2011",1876,"f","night",183,172,0,11,0,172,11,183,0,0.939890710382514,0,0.0601092896174863,0,0.939890710382514,0.0601092896174863,1,0,"2011"
"262","1876_2011_roe","roe",8,8,"1876_2011",1876,"f","day",177,102,6,68,1,103,74,170,7,0.576271186440678,0.0338983050847458,0.384180790960452,0.00564971751412429,0.581920903954802,0.418079096045198,0.96045197740113,0.0395480225988701,"2011"
"263","1878_2011_roe","roe",8,8,"1878_2011",1878,"f","night",183,168,1,14,0,168,15,182,1,0.918032786885246,0.00546448087431694,0.0765027322404372,0,0.918032786885246,0.0819672131147541,0.994535519125683,0.00546448087431694,"2011"
"264","1878_2011_roe","roe",8,8,"1878_2011",1878,"f","day",183,130,3,50,0,130,53,180,3,0.710382513661202,0.0163934426229508,0.273224043715847,0,0.710382513661202,0.289617486338798,0.983606557377049,0.0163934426229508,"2011"
"265","1880_2011_roe","roe",8,8,"1880_2011",1880,"f","night",177,153,1,23,0,153,24,176,1,0.864406779661017,0.00564971751412429,0.129943502824859,0,0.864406779661017,0.135593220338983,0.994350282485876,0.00564971751412429,"2011"
"266","1880_2011_roe","roe",8,8,"1880_2011",1880,"f","day",135,48,3,83,1,49,86,131,4,0.355555555555556,0.0222222222222222,0.614814814814815,0.00740740740740741,0.362962962962963,0.637037037037037,0.97037037037037,0.0296296296296296,"2011"
"267","1881_2011_roe","roe",8,8,"1881_2011",1881,"f","night",180,177,0,3,0,177,3,180,0,0.983333333333333,0,0.0166666666666667,0,0.983333333333333,0.0166666666666667,1,0,"2011"
"268","1881_2011_roe","roe",8,8,"1881_2011",1881,"f","day",157,153,0,4,0,153,4,157,0,0.974522292993631,0,0.0254777070063694,0,0.974522292993631,0.0254777070063694,1,0,"2011"
"269","1882_2011_roe","roe",8,8,"1882_2011",1882,"f","night",175,140,20,0,15,155,20,140,35,0.8,0.114285714285714,0,0.0857142857142857,0.885714285714286,0.114285714285714,0.8,0.2,"2011"
"270","1882_2011_roe","roe",8,8,"1882_2011",1882,"f","day",152,101,32,2,17,118,34,103,49,0.664473684210526,0.210526315789474,0.0131578947368421,0.111842105263158,0.776315789473684,0.223684210526316,0.677631578947368,0.322368421052632,"2011"
"271","1882_2013_roe","roe",8,8,"1882_2013",1882,"f","night",178,127,20,2,29,156,22,129,49,0.713483146067416,0.112359550561798,0.0112359550561798,0.162921348314607,0.876404494382023,0.123595505617978,0.724719101123595,0.275280898876405,"2013"
"272","1882_2013_roe","roe",8,8,"1882_2013",1882,"f","day",147,92,40,4,11,103,44,96,51,0.625850340136054,0.272108843537415,0.0272108843537415,0.0748299319727891,0.700680272108844,0.299319727891156,0.653061224489796,0.346938775510204,"2013"
"273","1883_2011_roe","roe",8,8,"1883_2011",1883,"f","night",178,163,0,15,0,163,15,178,0,0.915730337078652,0,0.0842696629213483,0,0.915730337078652,0.0842696629213483,1,0,"2011"
"274","1883_2011_roe","roe",8,8,"1883_2011",1883,"f","day",165,98,0,67,0,98,67,165,0,0.593939393939394,0,0.406060606060606,0,0.593939393939394,0.406060606060606,1,0,"2011"
"323","1936_2011_roe","roe",8,8,"1936_2011",1936,"m","night",183,162,0,21,0,162,21,183,0,0.885245901639344,0,0.114754098360656,0,0.885245901639344,0.114754098360656,1,0,"2011"
"324","1936_2011_roe","roe",8,8,"1936_2011",1936,"m","day",177,66,0,111,0,66,111,177,0,0.372881355932203,0,0.627118644067797,0,0.372881355932203,0.627118644067797,1,0,"2011"
"325","1937_2010_roe","roe",8,8,"1937_2010",1937,"f","night",184,184,0,0,0,184,0,184,0,1,0,0,0,1,0,1,0,"2010"
