"","species","population","study_areas_id","aniyr","animals_id","sex","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","tcd_open_abs","tcd_forest_abs","clc_open_abs","clc_forest_abs","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","tcd_open_prop","tcd_forest_prop","clc_open_prop","clc_forest_prop"
"14_2007midnight.2.2922","roe",2,2,"14_2007",14,"f","night",178,0,54,0,124,124,54,0,178,0,0.303370786516854,0,0.696629213483146,0.696629213483146,0.303370786516854,0,1
"14_2007noon.2.2924","roe",2,2,"14_2007",14,"f","day",179,0,152,0,27,27,152,0,179,0,0.849162011173184,0,0.150837988826816,0.150837988826816,0.849162011173184,0,1
"14_2010midnight.2.3280","roe",2,2,"14_2010",14,"f","night",117,0,45,0,72,72,45,0,117,0,0.384615384615385,0,0.615384615384615,0.615384615384615,0.384615384615385,0,1
"14_2010noon.2.3279","roe",2,2,"14_2010",14,"f","day",108,1,88,0,19,20,88,1,107,0.00925925925925926,0.814814814814815,0,0.175925925925926,0.185185185185185,0.814814814814815,0.00925925925925926,0.990740740740741
"1429_2010midnight.2.948","roe",2,2,"1429_2010",1429,"f","night",108,0,88,20,0,0,108,20,88,0,0.814814814814815,0.185185185185185,0,0,1,0.185185185185185,0.814814814814815
"1429_2010noon.2.947","roe",2,2,"1429_2010",1429,"f","day",107,0,100,7,0,0,107,7,100,0,0.934579439252336,0.0654205607476635,0,0,1,0.0654205607476635,0.934579439252336
"1453_2010midnight.15.1162","roe",15,15,"1453_2010",1453,"f","night",185,159,24,0,2,161,24,159,26,0.859459459459459,0.12972972972973,0,0.0108108108108108,0.87027027027027,0.12972972972973,0.859459459459459,0.140540540540541
"1453_2010noon.15.1163","roe",15,15,"1453_2010",1453,"f","day",184,124,46,0,14,138,46,124,60,0.673913043478261,0.25,0,0.0760869565217391,0.75,0.25,0.673913043478261,0.326086956521739
"1454_2010midnight.15.1531","roe",15,15,"1454_2010",1454,"m","night",185,182,1,0,2,184,1,182,3,0.983783783783784,0.00540540540540541,0,0.0108108108108108,0.994594594594595,0.00540540540540541,0.983783783783784,0.0162162162162162
"1454_2010noon.15.1532","roe",15,15,"1454_2010",1454,"m","day",184,164,7,0,13,177,7,164,20,0.891304347826087,0.0380434782608696,0,0.0706521739130435,0.96195652173913,0.0380434782608696,0.891304347826087,0.108695652173913
"1455_2010midnight.15.1900","roe",15,15,"1455_2010",1455,"f","night",180,36,122,0,22,58,122,36,144,0.2,0.677777777777778,0,0.122222222222222,0.322222222222222,0.677777777777778,0.2,0.8
"1455_2010noon.15.1901","roe",15,15,"1455_2010",1455,"f","day",180,2,165,0,13,15,165,2,178,0.0111111111111111,0.916666666666667,0,0.0722222222222222,0.0833333333333333,0.916666666666667,0.0111111111111111,0.988888888888889
"1457_2010midnight.15.2260","roe",15,15,"1457_2010",1457,"f","night",183,181,0,1,1,182,1,182,1,0.989071038251366,0,0.00546448087431694,0.00546448087431694,0.994535519125683,0.00546448087431694,0.994535519125683,0.00546448087431694
"1457_2010noon.15.2261","roe",15,15,"1457_2010",1457,"f","day",183,175,3,2,3,178,5,177,6,0.956284153005464,0.0163934426229508,0.0109289617486339,0.0163934426229508,0.972677595628415,0.0273224043715847,0.967213114754098,0.0327868852459016
"1670_2004midnight.8.3504","roe",8,8,"1670_2004",1670,"m","night",173,171,0,2,0,171,2,173,0,0.988439306358382,0,0.0115606936416185,0,0.988439306358382,0.0115606936416185,1,0
"1670_2004noon.8.3505","roe",8,8,"1670_2004",1670,"m","day",150,139,0,11,0,139,11,150,0,0.926666666666667,0,0.0733333333333333,0,0.926666666666667,0.0733333333333333,1,0
"1675_2004midnight.8.3827","roe",8,8,"1675_2004",1675,"m","night",151,107,30,6,8,115,36,113,38,0.708609271523179,0.198675496688742,0.0397350993377483,0.0529801324503311,0.76158940397351,0.23841059602649,0.748344370860927,0.251655629139073
"1675_2004noon.8.3829","roe",8,8,"1675_2004",1675,"m","day",128,50,55,9,14,64,64,59,69,0.390625,0.4296875,0.0703125,0.109375,0.5,0.5,0.4609375,0.5390625
"1685_2005midnight.8.4106","roe",8,8,"1685_2005",1685,"f","night",158,134,1,23,0,134,24,157,1,0.848101265822785,0.00632911392405063,0.145569620253165,0,0.848101265822785,0.151898734177215,0.993670886075949,0.00632911392405063
"1685_2005noon.8.4107","roe",8,8,"1685_2005",1685,"f","day",128,81,0,47,0,81,47,128,0,0.6328125,0,0.3671875,0,0.6328125,0.3671875,1,0
"1686_2005midnight.8.4392","roe",8,8,"1686_2005",1686,"f","night",170,115,40,15,0,115,55,130,40,0.676470588235294,0.235294117647059,0.0882352941176471,0,0.676470588235294,0.323529411764706,0.764705882352941,0.235294117647059
"1686_2005noon.8.4393","roe",8,8,"1686_2005",1686,"f","day",151,47,59,45,0,47,104,92,59,0.311258278145695,0.390728476821192,0.298013245033113,0,0.311258278145695,0.688741721854305,0.609271523178808,0.390728476821192
"1688_2005midnight.8.4713","roe",8,8,"1688_2005",1688,"f","night",166,158,0,8,0,158,8,166,0,0.951807228915663,0,0.0481927710843374,0,0.951807228915663,0.0481927710843374,1,0
"1688_2005noon.8.4715","roe",8,8,"1688_2005",1688,"f","day",141,110,0,31,0,110,31,141,0,0.780141843971631,0,0.219858156028369,0,0.780141843971631,0.219858156028369,1,0
"1689_2005midnight.8.5020","roe",8,8,"1689_2005",1689,"m","night",176,172,1,3,0,172,4,175,1,0.977272727272727,0.00568181818181818,0.0170454545454545,0,0.977272727272727,0.0227272727272727,0.994318181818182,0.00568181818181818
"1689_2005noon.8.5021","roe",8,8,"1689_2005",1689,"m","day",129,96,11,20,2,98,31,116,13,0.744186046511628,0.0852713178294574,0.155038759689922,0.0155038759689922,0.75968992248062,0.24031007751938,0.89922480620155,0.10077519379845
"1691_2005midnight.8.5325","roe",8,8,"1691_2005",1691,"f","night",165,135,0,30,0,135,30,165,0,0.818181818181818,0,0.181818181818182,0,0.818181818181818,0.181818181818182,1,0
"1691_2005noon.8.5328","roe",8,8,"1691_2005",1691,"f","day",123,67,0,56,0,67,56,123,0,0.544715447154472,0,0.455284552845528,0,0.544715447154472,0.455284552845528,1,0
"1707_2005midnight.8.5613","roe",8,8,"1707_2005",1707,"m","night",182,174,0,8,0,174,8,182,0,0.956043956043956,0,0.043956043956044,0,0.956043956043956,0.043956043956044,1,0
"1707_2005noon.8.5614","roe",8,8,"1707_2005",1707,"m","day",168,160,0,8,0,160,8,168,0,0.952380952380952,0,0.0476190476190476,0,0.952380952380952,0.0476190476190476,1,0
"1708_2005midnight.8.5963","roe",8,8,"1708_2005",1708,"f","night",178,152,0,26,0,152,26,178,0,0.853932584269663,0,0.146067415730337,0,0.853932584269663,0.146067415730337,1,0
"1708_2005noon.8.5964","roe",8,8,"1708_2005",1708,"f","day",162,124,0,38,0,124,38,162,0,0.765432098765432,0,0.234567901234568,0,0.765432098765432,0.234567901234568,1,0
"1709_2005midnight.8.6303","roe",8,8,"1709_2005",1709,"m","night",176,152,8,13,3,155,21,165,11,0.863636363636364,0.0454545454545455,0.0738636363636364,0.0170454545454545,0.880681818181818,0.119318181818182,0.9375,0.0625
"1709_2005noon.8.6305","roe",8,8,"1709_2005",1709,"m","day",159,131,8,19,1,132,27,150,9,0.823899371069182,0.050314465408805,0.119496855345912,0.00628930817610063,0.830188679245283,0.169811320754717,0.943396226415094,0.0566037735849057
"1710_2005midnight.8.6638","roe",8,8,"1710_2005",1710,"f","night",164,135,0,29,0,135,29,164,0,0.823170731707317,0,0.176829268292683,0,0.823170731707317,0.176829268292683,1,0
"1710_2005noon.8.6639","roe",8,8,"1710_2005",1710,"f","day",149,127,0,22,0,127,22,149,0,0.852348993288591,0,0.147651006711409,0,0.852348993288591,0.147651006711409,1,0
"1712_2005midnight.8.6951","roe",8,8,"1712_2005",1712,"f","night",175,126,0,49,0,126,49,175,0,0.72,0,0.28,0,0.72,0.28,1,0
"1712_2005noon.8.6953","roe",8,8,"1712_2005",1712,"f","day",142,59,0,83,0,59,83,142,0,0.415492957746479,0,0.584507042253521,0,0.415492957746479,0.584507042253521,1,0
"1712_2007midnight.8.7268","roe",8,8,"1712_2007",1712,"f","night",183,165,0,18,0,165,18,183,0,0.901639344262295,0,0.0983606557377049,0,0.901639344262295,0.0983606557377049,1,0
"1712_2007noon.8.7269","roe",8,8,"1712_2007",1712,"f","day",175,139,0,36,0,139,36,175,0,0.794285714285714,0,0.205714285714286,0,0.794285714285714,0.205714285714286,1,0
"1715_2005midnight.8.7626","roe",8,8,"1715_2005",1715,"f","night",155,125,0,30,0,125,30,155,0,0.806451612903226,0,0.193548387096774,0,0.806451612903226,0.193548387096774,1,0
"1715_2005noon.8.7627","roe",8,8,"1715_2005",1715,"f","day",124,74,0,50,0,74,50,124,0,0.596774193548387,0,0.403225806451613,0,0.596774193548387,0.403225806451613,1,0
