"","species","population","study_areas_id","aniyr","animals_id","area","time","total","clc0tcd0","clc1tcd1","clc0tcd1","clc1tcd0","open_tcd","forest_tcd","open_clc","forest_clc","clc0tcd0_prop","clc1tcd1_prop","clc0tcd1_prop","clc1tcd0_prop","open_tcd_prop","forest_tcd_prop","open_clc_prop","forest_clc_prop"
"2.1994_2011","roe","2","2","1994_2011","1994",93.6723051757812,"night",2337,238,1780,299,20,258,2079,537,1800,0.101839965768079,0.761660248181429,0.127941805733847,0.00855798031664527,0.110397946084724,0.889602053915276,0.229781771501926,0.770218228498074
"2.1996_2010","roe","2","2","1996_2010","1996",69.6246805664063,"night",1748,564,751,177,256,820,928,741,1007,0.322654462242563,0.429633867276888,0.101258581235698,0.146453089244851,0.469107551487414,0.530892448512586,0.423913043478261,0.576086956521739
"2.2000_2010","roe","2","2","2000_2010","2000",41.9542060546875,"night",1052,628,384,38,2,630,422,666,386,0.596958174904943,0.365019011406844,0.0361216730038023,0.00190114068441065,0.598859315589354,0.401140684410646,0.633079847908745,0.366920152091255
"2.2002_2011","roe","2","2","2002_2011","2002",191.658944042969,"night",4786,2810,1728,136,112,2922,1864,2946,1840,0.587129126619306,0.36105307145842,0.0284162139573757,0.0234015879648976,0.610530714584204,0.389469285415796,0.615545340576682,0.384454659423318
"2.2008_2010","roe","2","2","2008_2010","2008",38.5615442382813,"night",963,0,658,0,305,305,658,0,963,0,0.683281412253375,0,0.316718587746625,0.316718587746625,0.683281412253375,0,1
"2.2008_2011","roe","2","2","2008_2011","2008",41.10236875,"night",1029,0,709,0,320,320,709,0,1029,0,0.689018464528669,0,0.310981535471331,0.310981535471331,0.689018464528669,0,1
"2.2011_2010","roe","2","2","2011_2010","2011",122.446381445312,"night",3065,1301,1611,72,81,1382,1683,1373,1692,0.424469820554649,0.525611745513866,0.0234910277324633,0.0264274061990212,0.45089722675367,0.54910277324633,0.447960848287113,0.552039151712887
"2.2013_2010","roe","2","2","2013_2010","2013",30.0904041015625,"night",751,189,494,42,26,215,536,231,520,0.251664447403462,0.657789613848202,0.0559254327563249,0.0346205059920107,0.286284953395473,0.713715046604527,0.307589880159787,0.692410119840213
"2.2014_2010","roe","2","2","2014_2010","2014",90.515182421875,"night",2263,1301,864,69,29,1330,933,1370,893,0.574900574458683,0.38179407865665,0.0304904993371631,0.0128148475475033,0.587715422006186,0.412284577993814,0.605391073795846,0.394608926204154
"2.2014_2011","roe","2","2","2014_2011","2014",90.9777426757812,"night",2273,1734,457,77,5,1739,534,1811,462,0.762868455785306,0.201055873295205,0.0338759348878135,0.0021997360316762,0.765068191816982,0.234931808183018,0.796744390673119,0.203255609326881
"2.2019_2011","roe","2","2","2019_2011","2019",489.039486621094,"night",12239,6490,4971,650,128,6618,5621,7140,5099,0.530272081052374,0.406160634038729,0.0531089141269712,0.0104583707819266,0.5407304518343,0.4592695481657,0.583380995179345,0.416619004820655
"2.20_2006","roe","2","2","20_2006","20",351.572840917969,"night",8791,517,5703,2419,152,669,8122,2936,5855,0.0588101467409851,0.648731657376863,0.275167785234899,0.0172904106472529,0.076100557388238,0.923899442611762,0.333977931975884,0.666022068024116
"2.2029_2011","roe","2","2","2029_2011","2029",56.9249219726563,"night",1426,445,872,57,52,497,929,502,924,0.312061711079944,0.611500701262272,0.0399719495091164,0.0364656381486676,0.348527349228612,0.651472650771388,0.35203366058906,0.64796633941094
"2.2030_2010","roe","2","2","2030_2010","2030",79.5764497070312,"night",1987,1478,448,54,7,1485,502,1532,455,0.743834927025667,0.22546552591847,0.027176648213387,0.00352289884247609,0.747357825868143,0.252642174131857,0.771011575239054,0.228988424760946
"2.2037_2011","roe","2","2","2037_2011","2037",168.002020898438,"night",4196,0,3864,0,332,332,3864,0,4196,0,0.920877025738799,0,0.0791229742612011,0.0791229742612011,0.920877025738799,0,1
"2.21_2010","roe","2","2","21_2010","21",108.130294238281,"night",2706,0,2348,0,358,358,2348,0,2706,0,0.86770140428677,0,0.13229859571323,0.13229859571323,0.86770140428677,0,1
"2.2531_2013","roe","2","2","2531_2013","2531",580.575105761719,"night",14522,2574,10839,177,932,3506,11016,2751,11771,0.177248312904559,0.746384795482716,0.0121884038011293,0.0641784878115962,0.241426800716155,0.758573199283845,0.189436716705688,0.810563283294312
"2.4_2006","roe","2","2","4_2006","4",154.310995117188,"night",3850,839,2419,390,202,1041,2809,1229,2621,0.217922077922078,0.628311688311688,0.101298701298701,0.0524675324675325,0.27038961038961,0.72961038961039,0.319220779220779,0.680779220779221
"2.5_2007","roe","2","2","5_2007","5",65.3951395507813,"night",1629,421,792,156,260,681,948,577,1052,0.258440761203192,0.486187845303867,0.0957642725598527,0.159607120933088,0.41804788213628,0.58195211786372,0.354205033763045,0.645794966236955
"8.1670_2004","roe","8","8","1670_2004","1670",156.367428662109,"night",3917,3784,0,133,0,3784,133,3917,0,0.966045442941026,0,0.0339545570589737,0,0.966045442941026,0.0339545570589737,1,0
"8.1675_2004","roe","8","8","1675_2004","1675",179.374558300781,"night",4485,3362,597,315,211,3573,912,3677,808,0.749609810479376,0.133110367892977,0.0702341137123746,0.0470457079152731,0.796655518394649,0.203344481605351,0.81984392419175,0.18015607580825
"8.1685_2005","roe","8","8","1685_2005","1685",33.1926317871094,"night",830,647,0,183,0,647,183,830,0,0.779518072289157,0,0.220481927710843,0,0.779518072289157,0.220481927710843,1,0
"8.1686_2005","roe","8","8","1686_2005","1686",34.0190509765625,"night",854,383,303,140,28,411,443,523,331,0.44847775175644,0.35480093676815,0.163934426229508,0.0327868852459016,0.481264637002342,0.518735362997658,0.612412177985948,0.387587822014052
"8.1688_2005","roe","8","8","1688_2005","1688",469.055868359375,"night",11727,11319,0,408,0,11319,408,11727,0,0.965208493220773,0,0.0347915067792274,0,0.965208493220773,0.0347915067792274,1,0
"8.1689_2005","roe","8","8","1689_2005","1689",110.180192822266,"night",2763,2675,0,88,0,2675,88,2763,0,0.968150560984437,0,0.0318494390155628,0,0.968150560984437,0.0318494390155628,1,0
"8.1691_2005","roe","8","8","1691_2005","1691",42.0363981933594,"night",1056,669,0,387,0,669,387,1056,0,0.633522727272727,0,0.366477272727273,0,0.633522727272727,0.366477272727273,1,0
"8.1707_2005","roe","8","8","1707_2005","1707",236.425470751953,"night",5911,5617,0,294,0,5617,294,5911,0,0.950262222974116,0,0.0497377770258839,0,0.950262222974116,0.0497377770258839,1,0
"8.1708_2005","roe","8","8","1708_2005","1708",80.983294921875,"night",2024,1816,0,208,0,1816,208,2024,0,0.897233201581028,0,0.102766798418972,0,0.897233201581028,0.102766798418972,1,0
"8.1709_2005","roe","8","8","1709_2005","1709",2333.08390161133,"night",58347,45718,5865,5957,807,46525,11822,51675,6672,0.783553567449912,0.100519306905239,0.10209608034689,0.0138310452979588,0.797384612747871,0.202615387252129,0.885649647796802,0.114350352203198
"8.1710_2005","roe","8","8","1710_2005","1710",184.401254589844,"night",4616,4113,0,503,0,4113,503,4616,0,0.891031195840555,0,0.108968804159445,0,0.891031195840555,0.108968804159445,1,0
"8.1712_2005","roe","8","8","1712_2005","1712",36.8777879882812,"night",918,793,0,125,0,793,125,918,0,0.863834422657952,0,0.136165577342048,0,0.863834422657952,0.136165577342048,1,0
"8.1712_2007","roe","8","8","1712_2007","1712",63.2374433105469,"night",1582,1438,0,144,0,1438,144,1582,0,0.90897597977244,0,0.0910240202275601,0,0.90897597977244,0.0910240202275601,1,0
"8.1715_2005","roe","8","8","1715_2005","1715",117.935316357422,"night",2952,2511,0,441,0,2511,441,2952,0,0.850609756097561,0,0.149390243902439,0,0.850609756097561,0.149390243902439,1,0
"8.1717_2005","roe","8","8","1717_2005","1717",97.5283905273437,"night",2438,2385,0,53,0,2385,53,2438,0,0.978260869565217,0,0.0217391304347826,0,0.978260869565217,0.0217391304347826,1,0
"8.1726_2006","roe","8","8","1726_2006","1726",64.9278969726563,"night",1624,994,0,630,0,994,630,1624,0,0.612068965517241,0,0.387931034482759,0,0.612068965517241,0.387931034482759,1,0
"8.1727_2006","roe","8","8","1727_2006","1727",45.0194443359375,"night",1125,1026,13,77,9,1035,90,1103,22,0.912,0.0115555555555556,0.0684444444444444,0.008,0.92,0.08,0.980444444444444,0.0195555555555556
"8.1728_2006","roe","8","8","1728_2006","1728",24.3551777832031,"night",606,295,0,311,0,295,311,606,0,0.486798679867987,0,0.513201320132013,0,0.486798679867987,0.513201320132013,1,0
"8.1728_2011","roe","8","8","1728_2011","1728",35.7858814941406,"night",895,455,0,440,0,455,440,895,0,0.508379888268156,0,0.491620111731844,0,0.508379888268156,0.491620111731844,1,0
"8.1730_2006","roe","8","8","1730_2006","1730",59.5153466308594,"night",1490,1042,0,448,0,1042,448,1490,0,0.699328859060403,0,0.300671140939597,0,0.699328859060403,0.300671140939597,1,0
"8.1731_2006","roe","8","8","1731_2006","1731",47.3749185058594,"night",1182,784,0,398,0,784,398,1182,0,0.663282571912014,0,0.336717428087986,0,0.663282571912014,0.336717428087986,1,0
"8.1732_2006","roe","8","8","1732_2006","1732",30.983172265625,"night",771,616,0,155,0,616,155,771,0,0.798962386511025,0,0.201037613488975,0,0.798962386511025,0.201037613488975,1,0
"8.1733_2006","roe","8","8","1733_2006","1733",97.4449734375,"night",2435,1835,490,55,55,1890,545,1890,545,0.753593429158111,0.201232032854209,0.0225872689938398,0.0225872689938398,0.776180698151951,0.223819301848049,0.776180698151951,0.223819301848049
"8.1734_2006","roe","8","8","1734_2006","1734",57.0214661132812,"night",1425,1220,0,205,0,1220,205,1425,0,0.856140350877193,0,0.143859649122807,0,0.856140350877193,0.143859649122807,1,0
"8.1735_2006","roe","8","8","1735_2006","1735",56.2081262695312,"night",1409,1306,0,103,0,1306,103,1409,0,0.926898509581263,0,0.0731014904187367,0,0.926898509581263,0.0731014904187367,1,0
"8.1737_2006","roe","8","8","1737_2006","1737",550.337055664063,"night",13752,9996,1998,438,1320,11316,2436,10434,3318,0.726876090750436,0.145287958115183,0.0318499127399651,0.0959860383944154,0.822862129144852,0.177137870855148,0.758726003490401,0.241273996509599
